income_groups,age,gender,year,population
high_income,19.0,2.0,1984.0,7826330.0
high_income,19.0,2.0,1986.0,7488190.0
high_income,19.0,2.0,1987.0,7533609.0
high_income,19.0,2.0,1988.0,7552475.0
high_income,19.0,2.0,1989.0,7627215.0
high_income,19.0,2.0,1991.0,7561901.0
high_income,19.0,2.0,1992.0,7394016.0
high_income,19.0,2.0,1993.0,7304036.0
high_income,19.0,2.0,1996.0,7098307.0
high_income,19.0,2.0,1997.0,7112029.0
high_income,19.0,2.0,1998.0,7158702.0
high_income,19.0,2.0,2000.0,7276595.0
high_income,19.0,2.0,2001.0,7245256.0
high_income,19.0,2.0,2002.0,7194236.0
high_income,19.0,2.0,2003.0,7143657.0
high_income,19.0,2.0,2004.0,7141474.0
high_income,19.0,2.0,2005.0,7126462.0
high_income,19.0,2.0,2006.0,7091960.0
high_income,19.0,2.0,2007.0,7124563.0
high_income,19.0,2.0,2008.0,7197047.0
high_income,19.0,2.0,2009.0,7275986.0
high_income_typo,19.0,2.0,2010.0,7301344.0
high_income,19.0,2.0,2011.0,7225935.0
high_income,19.0,2.0,2012.0,7108749.0
high_income,19.0,2.0,2013.0,6997545.0
high_income,19.0,2.0,2014.0,6918574.0
high_income,19.0,2.0,2015.0,6872118.0
high_income,19.0,2.0,2017.0,6866602.0
high_income,19.0,2.0,2018.0,6843737.0
high_income,19.0,2.0,2021.0,6741508.0
high_income,19.0,2.0,2023.0,6757324.0
high_income,20.0,1.0,1950.0,5510431.0
high_income,20.0,1.0,1952.0,5410782.0
high_income_typo,20.0,1.0,1953.0,5392259.0
high_income,20.0,1.0,1954.0,5433599.0
high_income,20.0,1.0,1955.0,5537448.0
high_income,20.0,1.0,1959.0,5669754.0
high_income,20.0,3.0,1960.0,5792687.0
high_income,20.0,1.0,1961.0,5866586.0
high_income,20.0,3.0,1963.0,6037826.0
high_income,20.0,1.0,1965.0,5876591.0
high_income,20.0,1.0,1966.0,6371907.0
high_income,20.0,1.0,1968.0,7367597.0
high_income,20.0,1.0,1969.0,7321998.0
high_income,20.0,1.0,1970.0,7295247.0
high_income,20.0,1.0,1971.0,7322460.0
high_income,20.0,1.0,1972.0,7367968.0
high_income,20.0,1.0,1973.0,7436797.0
high_income,20.0,1.0,1974.0,7524187.0
high_income,20.0,1.0,1975.0,7652582.0
high_income,20.0,1.0,1976.0,7727234.0
high_income,20.0,1.0,1977.0,7802589.0
high_income,20.0,1.0,1978.0,7941080.0
high_income,20.0,1.0,1979.0,8086925.0
high_income,20.0,1.0,1981.0,8185969.0
high_income,20.0,1.0,1982.0,8205968.0
high_income,20.0,1.0,1983.0,8253809.0
high_income,20.0,1.0,1985.0,8250697.0
high_income,20.0,1.0,1986.0,8010723.0
high_income,20.0,1.0,1987.0,7888309.0
high_income,20.0,1.0,1988.0,7944124.0
high_income,20.0,1.0,1989.0,8001772.0
high_income,20.0,3.0,1990.0,8093617.0
high_income,20.0,1.0,1991.0,8105605.0
high_income,20.0,1.0,1994.0,7772549.0
high_income,20.0,1.0,1995.0,7678038.0
high_income_typo,20.0,1.0,1996.0,7572776.0
high_income,20.0,1.0,1997.0,7553853.0
high_income,20.0,1.0,1998.0,7577268.0
high_income,20.0,3.0,1999.0,7655533.0
high_income,20.0,1.0,2000.0,7784272.0
high_income,20.0,1.0,2001.0,7805979.0
high_income_typo,20.0,1.0,2004.0,7735579.0
high_income,20.0,1.0,2006.0,7745169.0
high_income,20.0,1.0,2008.0,7791755.0
high_income,20.0,1.0,2009.0,7874750.0
high_income,20.0,1.0,2011.0,7982179.0
high_income,20.0,1.0,2012.0,7881302.0
high_income,20.0,1.0,2013.0,7752839.0
high_income,20.0,1.0,2014.0,7640367.0
high_income,20.0,1.0,2015.0,7569415.0
high_income,20.0,1.0,2016.0,7532422.0
high_income,20.0,1.0,2017.0,7511462.0
high_income,20.0,1.0,2018.0,7498750.0
high_income,20.0,1.0,2019.0,7475542.0
high_income_typo,20.0,1.0,2020.0,7489530.0
high_income,20.0,3.0,2021.0,7436631.0
high_income,20.0,1.0,2022.0,7297094.0
high_income,20.0,1.0,2023.0,7242309.0
high_income,20.0,1.0,2024.0,7306042.0
high_income,20.0,2.0,1950.0,5607064.0
high_income,20.0,2.0,1951.0,5578380.0
high_income,20.0,2.0,1953.0,5425774.0
high_income,20.0,2.0,1954.0,5439324.0
high_income,20.0,2.0,1955.0,5533474.0
high_income,20.0,2.0,1957.0,5528070.0
high_income,20.0,2.0,1959.0,5614117.0
high_income,20.0,2.0,1960.0,5800269.0
high_income,20.0,2.0,1961.0,5849783.0
high_income_typo,20.0,2.0,1962.0,5839056.0
high_income,20.0,2.0,1964.0,5978245.0
high_income,20.0,2.0,1965.0,5794189.0
high_income,20.0,2.0,1967.0,7035167.0
high_income,20.0,2.0,1970.0,7175912.0
high_income,20.0,2.0,1972.0,7218427.0
high_income_typo,20.0,2.0,1973.0,7281929.0
high_income,20.0,2.0,1974.0,7340836.0
high_income,20.0,2.0,1976.0,7550179.0
high_income,20.0,2.0,1977.0,7581309.0
high_income_typo,20.0,2.0,1978.0,7672382.0
high_income,20.0,2.0,1980.0,7829786.0
high_income,20.0,2.0,1981.0,7872352.0
high_income,20.0,2.0,1982.0,7877109.0
high_income,20.0,2.0,1983.0,7893085.0
high_income,20.0,2.0,1984.0,7915269.0
high_income,20.0,2.0,1985.0,7843399.0
high_income,20.0,2.0,1986.0,7617712.0
high_income,20.0,2.0,1987.0,7514956.0
high_income,20.0,3.0,1988.0,7567531.0
high_income,20.0,2.0,1989.0,7590298.0
high_income,20.0,2.0,1990.0,7664401.0
high_income,20.0,2.0,1991.0,7715140.0
high_income,20.0,2.0,1992.0,7607655.0
high_income,20.0,2.0,1994.0,7336815.0
high_income,20.0,2.0,1995.0,7248105.0
high_income,20.0,2.0,1996.0,7159062.0
high_income,20.0,2.0,1997.0,7150792.0
high_income,20.0,2.0,1998.0,7153802.0
high_income,20.0,2.0,1999.0,7194991.0
high_income,20.0,3.0,2000.0,7306812.0
high_income,20.0,2.0,2001.0,7336503.0
high_income,20.0,2.0,2003.0,7258884.0
high_income,20.0,2.0,2004.0,7208020.0
high_income,20.0,2.0,2006.0,7193644.0
high_income,20.0,2.0,2007.0,7160115.0
high_income,20.0,2.0,2008.0,7203467.0
high_income,20.0,2.0,2010.0,7355288.0
high_income,20.0,2.0,2011.0,7373504.0
high_income,20.0,2.0,2013.0,7168700.0
high_income,20.0,3.0,2014.0,7060111.0
high_income,20.0,2.0,2017.0,6950347.0
high_income,20.0,2.0,2018.0,6947239.0
high_income,20.0,2.0,2019.0,6923243.0
high_income,20.0,2.0,2020.0,6943802.0
high_income,20.0,2.0,2021.0,6915320.0
high_income,20.0,2.0,2023.0,6782567.0
high_income,20.0,2.0,2024.0,6857769.0
high_income,21.0,1.0,1950.0,5472715.0
high_income,21.0,1.0,1951.0,5493468.0
high_income,21.0,1.0,1952.0,5464571.0
high_income,21.0,1.0,1953.0,5397007.0
high_income,21.0,1.0,1954.0,5375949.0
high_income,21.0,1.0,1955.0,5417500.0
high_income,21.0,1.0,1956.0,5518794.0
high_income,21.0,1.0,1957.0,5551315.0
high_income,21.0,1.0,1959.0,5590763.0
high_income,21.0,1.0,1960.0,5665591.0
high_income,21.0,3.0,1961.0,5771578.0
high_income,21.0,1.0,1962.0,5841254.0
high_income,21.0,1.0,1963.0,5877827.0
high_income,21.0,1.0,1964.0,6032734.0
high_income,21.0,1.0,1966.0,5872917.0
high_income,21.0,1.0,1968.0,7141552.0
high_income,21.0,1.0,1970.0,7318208.0
high_income,21.0,1.0,1971.0,7308153.0
high_income,21.0,1.0,1972.0,7342768.0
high_income,21.0,1.0,1973.0,7385458.0
high_income,21.0,1.0,1975.0,7527984.0
high_income,21.0,1.0,1977.0,7734738.0
high_income,21.0,1.0,1978.0,7813515.0
high_income,21.0,1.0,1980.0,8102355.0
high_income,21.0,1.0,1981.0,8176114.0
high_income,21.0,1.0,1982.0,8203008.0
high_income,21.0,1.0,1983.0,8219691.0
high_income,21.0,1.0,1984.0,8268405.0
high_income,21.0,1.0,1986.0,8265749.0
high_income,21.0,1.0,1988.0,7906637.0
high_income,21.0,1.0,1990.0,8046290.0
high_income,21.0,1.0,1991.0,8132960.0
high_income,21.0,1.0,1993.0,8028622.0
high_income_typo,21.0,1.0,1994.0,7880114.0
high_income,21.0,1.0,1995.0,7800197.0
high_income,21.0,1.0,1996.0,7712614.0
high_income,21.0,1.0,1997.0,7613812.0
high_income,21.0,1.0,1998.0,7597364.0
high_income,21.0,1.0,1999.0,7619898.0
high_income,21.0,1.0,2000.0,7708528.0
high_income,21.0,1.0,2001.0,7839410.0
high_income_typo,21.0,1.0,2002.0,7863673.0
high_income,21.0,1.0,2003.0,7847217.0
high_income,21.0,1.0,2004.0,7834506.0
high_income,21.0,3.0,2005.0,7815441.0
high_income,21.0,1.0,2006.0,7835400.0
high_income,21.0,1.0,2009.0,7878994.0
high_income,21.0,1.0,2010.0,7961706.0
high_income_typo,21.0,1.0,2011.0,8051879.0
high_income,21.0,1.0,2012.0,8058375.0
high_income,21.0,1.0,2016.0,7681458.0
high_income,21.0,1.0,2017.0,7632541.0
high_income,21.0,1.0,2021.0,7564450.0
high_income,21.0,1.0,2023.0,7394858.0
high_income,21.0,1.0,2024.0,7387941.0
high_income,21.0,2.0,1950.0,5581905.0
high_income,21.0,2.0,1951.0,5600502.0
high_income,21.0,2.0,1955.0,5435146.0
high_income,21.0,2.0,1956.0,5530277.0
high_income,21.0,2.0,1957.0,5548352.0
high_income,21.0,2.0,1958.0,5514269.0
high_income,21.0,2.0,1960.0,5613706.0
high_income,21.0,2.0,1961.0,5790548.0
high_income,21.0,3.0,1962.0,5840461.0
high_income,21.0,2.0,1963.0,5842089.0
high_income,21.0,2.0,1964.0,5977098.0
high_income,21.0,2.0,1965.0,5983071.0
high_income,21.0,2.0,1966.0,5804216.0
high_income,21.0,2.0,1967.0,6266093.0
high_income,21.0,2.0,1968.0,7030905.0
high_income,21.0,2.0,1970.0,7234085.0
high_income,21.0,2.0,1971.0,7188926.0
high_income,21.0,2.0,1973.0,7235405.0
high_income,21.0,2.0,1974.0,7296198.0
high_income,21.0,2.0,1975.0,7352145.0
high_income,21.0,2.0,1977.0,7566558.0
high_income_typo,21.0,2.0,1978.0,7597923.0
high_income,21.0,3.0,1979.0,7688678.0
high_income,21.0,2.0,1980.0,7793440.0
high_income,21.0,2.0,1981.0,7857387.0
high_income,21.0,2.0,1984.0,7908301.0
high_income,21.0,2.0,1986.0,7864030.0
high_income,21.0,3.0,1987.0,7641596.0
high_income,21.0,2.0,1988.0,7543389.0
high_income,21.0,2.0,1989.0,7600020.0
high_income,21.0,2.0,1990.0,7624517.0
high_income,21.0,2.0,1991.0,7707240.0
high_income,21.0,2.0,1992.0,7756549.0
high_income,21.0,2.0,1993.0,7642357.0
high_income,21.0,2.0,1995.0,7370161.0
high_income,21.0,2.0,1996.0,7287342.0
high_income,21.0,2.0,1998.0,7188255.0
high_income,21.0,2.0,2000.0,7244234.0
high_income,21.0,3.0,2002.0,7394041.0
high_income,21.0,2.0,2003.0,7369642.0
high_income,21.0,3.0,2004.0,7324574.0
high_income,21.0,2.0,2006.0,7280399.0
high_income,21.0,2.0,2007.0,7262013.0
high_income,21.0,2.0,2008.0,7239776.0
high_income,21.0,2.0,2009.0,7283117.0
high_income,21.0,2.0,2010.0,7355631.0
high_income,21.0,2.0,2011.0,7428908.0
high_income,21.0,2.0,2012.0,7435122.0
high_income,21.0,2.0,2013.0,7347519.0
high_income,21.0,2.0,2014.0,7231391.0
high_income,21.0,2.0,2015.0,7124655.0
high_income,21.0,2.0,2016.0,7061335.0
high_income,21.0,2.0,2017.0,7031212.0
high_income,21.0,2.0,2018.0,7025943.0
high_income,21.0,2.0,2019.0,7022874.0
high_income,21.0,2.0,2020.0,6983046.0
high_income,21.0,2.0,2021.0,6991557.0
high_income,21.0,2.0,2022.0,6986920.0
high_income,21.0,2.0,2023.0,6880813.0
high_income,22.0,1.0,1950.0,5423917.0
high_income,22.0,1.0,1951.0,5444521.0
high_income,22.0,1.0,1952.0,5466426.0
high_income,22.0,1.0,1953.0,5449618.0
high_income,22.0,1.0,1954.0,5381992.0
high_income,22.0,1.0,1955.0,5357967.0
high_income,22.0,1.0,1956.0,5396028.0
high_income,22.0,1.0,1959.0,5532744.0
high_income,22.0,1.0,1960.0,5581981.0
high_income,22.0,1.0,1962.0,5752041.0
high_income,22.0,1.0,1963.0,5833921.0
high_income,22.0,1.0,1965.0,6028553.0
high_income,22.0,1.0,1966.0,6056085.0
high_income,22.0,1.0,1967.0,5856346.0
high_income,22.0,1.0,1968.0,6338020.0
high_income,22.0,1.0,1970.0,7374390.0
high_income,22.0,1.0,1971.0,7340864.0
high_income,22.0,1.0,1972.0,7343449.0
high_income,22.0,1.0,1973.0,7370001.0
high_income,22.0,1.0,1974.0,7406770.0
high_income,22.0,1.0,1975.0,7462093.0
high_income_typo,22.0,1.0,1976.0,7535684.0
high_income,22.0,1.0,1977.0,7665495.0
high_income,22.0,1.0,1979.0,7830238.0
high_income_typo,22.0,1.0,1980.0,7978067.0
high_income,22.0,1.0,1981.0,8122341.0
high_income,22.0,1.0,1982.0,8184998.0
high_income,22.0,1.0,1983.0,8214469.0
high_income,22.0,1.0,1984.0,8233763.0
high_income,22.0,1.0,1985.0,8281985.0
high_income,22.0,1.0,1987.0,8276208.0
high_income,22.0,1.0,1988.0,8026656.0
high_income,22.0,1.0,1989.0,7918706.0
high_income,22.0,1.0,1991.0,8084955.0
high_income_typo,22.0,1.0,1992.0,8162959.0
